Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AC1L1FUW CTD 00002630	1/77	0.022881471	0.049596351	0	0	52.41578947	197.9968616	IL2RG
TRICHLOROETHYLENE CTD 00006932	1/82	0.02435207	0.049596351	0	0	49.16790123	182.6655601	CD27
ARSENIC CTD 00005442	2/854	0.024360045	0.049596351	0	0	11.23356808	41.73058211	CD27;IL7R
hexachlorophene CTD 00006092	1/93	0.027580896	0.052385191	0	0	43.26521739	155.3494713	GZMB
Imatinib CTD 00003267	1/106	0.031385297	0.056573497	0	0	37.88380952	131.131615	LCK
Sorafenib CTD 00004146	1/114	0.033720296	0.059642774	0	0	35.18761062	119.273873	LCK
Dinoprostone CTD 00007049	1/128	0.037795259	0.061120333	0	0	31.28661417	102.4815452	IL2RG
Chromium(VI) CTD 00002830	1/131	0.038666599	0.062174134	0	0	30.56	99.40492982	LCK
glutathione CTD 00006035	1/137	0.040407308	0.063529268	0	0	29.20294118	93.70478036	LCK
Cadmium sulfate CTD 00001745	1/145	0.042724167	0.064657428	0	0	27.56944444	86.92619802	IL7R
eugenol CTD 00005949	1/162	0.047632017	0.068425689	0	0	24.63726708	75.00200328	IL7R
cinnamaldehyde CTD 00000671	1/166	0.048783753	0.069726273	0	0	24.03515152	72.59476114	IL7R
PhIP CTD 00002156	1/180	0.052805692	0.074348313	0	0	22.1396648	65.11577149	CD27
folic acid CTD 00005997	1/195	0.057099178	0.076583258	0	0	20.41237113	58.43991553	IL7R
PARAQUAT CTD 00006471	1/214	0.0625143	0.080052249	0	0	18.57370892	51.49300658	CD27
Mustard gas CTD 00006356	1/215	0.062798587	0.080054055	0	0	18.48598131	51.16591868	IL7R
"1-chloro-2,4-dinitrobenzene CTD 00005848"	1/243	0.070729509	0.089359156	0	0	16.32396694	43.24043224	IL7R
rapamycin CTD 00007350	1/248	0.072139842	0.09073589	0	0	15.98947368	42.0387055	GZMB
ascorbic acid CTD 00005445	1/262	0.076079289	0.094431749	0	0	15.1210728	38.95156908	LCK
simvastatin CTD 00007319	1/305	0.088091981	0.107795907	0	0	12.95394737	31.46997999	CD27
Fulvestrant CTD 00002740	1/311	0.089757774	0.109019099	0	0	12.69935484	30.61358078	GZMB
cycloheximide CTD 00005731	1/325	0.093634767	0.112282369	0	0	12.14197531	28.75648999	LCK
5-azacytidine CTD 00005455	1/353	0.101347479	0.120509818	0	0	11.16022727	25.54799538	GZMB
progesterone CTD 00006624	2/1916	0.106070976	0.125075359	0	0	4.723092999	10.59695263	LCK;IL7R
calcitriol CTD 00005558	2/1959	0.110227947	0.128372465	0	0	4.608329075	10.16230945	IL7R;IL2RG
dexamethasone CTD 00005779	1/422	0.120120669	0.13875163	0	0	9.298337292	19.70558004	IL7R
3-(1-methylpyrrolidin-2-yl)pyridine CTD 00006393	1/500	0.140947863	0.160839698	0	0	7.813627255	15.30974951	LCK
Dasatinib CTD 00004330	1/503	0.14174063	0.161094772	0	0	7.765737052	15.1723588	LCK
POTASSIUM DICHROMATE CTD 00006598	1/557	0.155906527	0.175783056	0	0	6.992086331	12.99478292	LCK
Tamibarotene CTD 00002527	1/560	0.156687772	0.175962855	0	0	6.953488372	12.88829184	LCK
NICKEL SULFATE CTD 00001417	1/577	0.161103457	0.180206634	0	0	6.742361111	12.30958618	IL7R
"8-Bromo-cAMP, Na CTD 00007044"	1/653	0.180609303	0.19965794	0	0	5.933128834	10.15407019	IL7R
raloxifene CTD 00007367	1/687	0.189212406	0.208354517	0	0	5.629154519	9.371895234	IL7R
tamoxifen CTD 00006827	1/803	0.217999874	0.237284479	0	0	4.786034913	7.290379334	GZMB
Demecolcine CTD 00005762	1/877	0.235915336	0.253855666	0	0	4.364840183	6.30406135	IL7R
Silica CTD 00006678	1/899	0.241175103	0.257556808	0	0	4.253006682	6.048762376	IL7R
formaldehyde CTD 00006001	2/3193	0.246369689	0.26211512	0	0	2.632873707	3.688450885	CD2;IL7R
testosterone CTD 00006844	1/1248	0.320664633	0.337353499	0	0	3.006736167	3.419739817	IL2RG
Disodium selenite CTD 00007229	1/1371	0.346969231	0.362333182	0	0	2.718832117	2.87793593	CD2
Retinoic acid CTD 00006918	2/4259	0.376442098	0.39166586	0	0	1.848367395	1.80583837	LCK;GZMB
estradiol CTD 00005920	2/4337	0.385995722	0.400134759	0	0	1.806113033	1.71929136	LCK;IL7R
resveratrol CTD 00002483	1/1602	0.39407938	0.407023594	0	0	2.297688944	2.139614648	IL7R
COPPER CTD 00005706	1/1689	0.411071249	0.423029685	0	0	2.168957346	1.928178627	IL7R
Decitabine CTD 00000750	1/1801	0.432359509	0.443325149	0	0	2.021555556	1.695069967	IL7R
POTASSIUM CHROMATE CTD 00001284	1/1898	0.45027475	0.460027994	0	0	1.907959937	1.522356132	IL7R
(-)-Epigallocatechin gallate CTD 00002033	1/2115	0.488653042	0.497441765	0	0	1.691579943	1.211344741	IL7R
trichostatin A CTD 00000660	1/3585	0.694370498	0.704325631	0	0	0.915736607	0.334014563	LCK
Tetradioxin CTD 00006848	1/3769	0.714361186	0.722015055	0	0	0.861252654	0.289696612	LCK
acetaminophen CTD 00005295	1/4136	0.750992336	0.756337477	0	0	0.767061669	0.219655651	CD2
cyclosporin A CTD 00007121	1/4826	0.80931396	0.812183867	0	0	0.628766839	0.133027165	IL7R
VALPROIC ACID CTD 00006977	1/8313	0.960205809	0.960205809	0	0	0.281087584	0.011414302	LCK
